case_study,task_id,category,step_index,step,failure_signal,failure_class,recovery_action,has_response,log_summary
runtime_tool_failure,workflow_001,multi_step_api_workflow,0,initial_execution,,,,True,"{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.5}"
runtime_tool_failure,workflow_001,multi_step_api_workflow,1,failure_detected,timeout,tool_invocation_failure,,False,"{'step': 'failure_detected', 'failure_signal': 'timeout', 'failure_class': 'tool_invocation_failure'}"
runtime_tool_failure,workflow_001,multi_step_api_workflow,2,recovery_action_selected,,tool_invocation_failure,retry_with_backoff,False,"{'step': 'recovery_action_selected', 'recovery_attempt': 0, 'failure_class': 'tool_invocation_failure', 'recovery_action': 'retry_with_backoff'}"
runtime_tool_failure,workflow_001,multi_step_api_workflow,3,recovery_execution,,,retry_with_backoff,True,"{'step': 'recovery_execution', 'recovery_attempt': 0, 'recovery_action': 'retry_with_backoff', 'recovery_fault_intensity': 0.5}"
context_evidence_failure,retrieval_001,retrieval_evidence,0,initial_execution,,,,True,"{'step': 'initial_execution', 'attempt': 0, 'fault_intensity': 0.4}"
context_evidence_failure,retrieval_001,retrieval_evidence,1,failure_detected,stale_context,context_failure,,False,"{'step': 'failure_detected', 'failure_signal': 'stale_context', 'failure_class': 'context_failure'}"
context_evidence_failure,retrieval_001,retrieval_evidence,2,recovery_action_selected,,context_failure,refresh_retrieval,False,"{'step': 'recovery_action_selected', 'recovery_attempt': 0, 'failure_class': 'context_failure', 'recovery_action': 'refresh_retrieval'}"
context_evidence_failure,retrieval_001,retrieval_evidence,3,recovery_execution,,,refresh_retrieval,True,"{'step': 'recovery_execution', 'recovery_attempt': 0, 'recovery_action': 'refresh_retrieval', 'recovery_fault_intensity': 0.1}"
semantic_silent_failure,retrieval_002,retrieval_evidence,0,initial_execution,,,,True,{'step': 'initial_execution'}
semantic_silent_failure,retrieval_002,retrieval_evidence,1,verifier_rejected_answer,semantic_validation_failure,semantic_failure,,False,"{'step': 'verifier_rejected_answer', 'failure_signal': 'semantic_validation_failure', 'failure_class': 'semantic_failure', 'final_answer': 'The requested policy appears to indicate a support period of 6 months.'}"
semantic_silent_failure,retrieval_002,retrieval_evidence,2,semantic_recovery_execution,,,,True,"{'step': 'semantic_recovery_execution', 'recovery_attempt': 0, 'recovery_semantic_fault_intensity': 0.075}"
