run_id,task_id,category,success_mode,method,model,fault_intensity,seed,recovery_budget,fault_scheduled,fault_target_tool,fault_type,fault_injected,expected_decision,predicted_decision,decision_match,numeric_answer,expected_numeric_answer,numeric_ok,tools_ok,missing_required_tools,extra_tools_used,tool_efficiency,task_success,silent_failure,safe_degradation,detected_failure,recovery_success,llm_judge_outcome,judge_confidence,grounded_in_tool_evidence,uses_stale_or_contradictory_evidence,model_calls,tool_calls,verifier_calls,judge_calls,recovery_steps,input_tokens,output_tokens,estimated_cost_usd,eval_reason,final_answer,tool_path,tools_used,experiment,variant,tool_output_verifier_enabled,recovery_budget_level
verifier_ablation__verifier_on__live_retrieval_001__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_001,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,3,1,0,3373,353,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed') and is supported by current, consistent tool evidence: order O-1001 is delayed 60 hours, customer C-001 is Gold and active, and the policy allows expedited replacement for delayed >48h orders for active Gold/Platinum customers. All required tools were used and there is no stale, contradictory, or faulty evidence.",Expedited replacement is allowed for order O-1001.,order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_on__live_retrieval_001__self_healing__lambda_0.3__seed_22__budget_2,live_retrieval_001,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,22,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,3,1,0,3367,328,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is supported by current tool evidence: order O-1001 has delay_hours 60, customer C-001 is Gold and active, and the policy allows expedited replacement for delayed orders over 48 hours when the customer is Gold/Platinum and active. Required tools were used and no stale or contradictory evidence is present.",Expedited replacement is allowed for order O-1001.,order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_off__live_retrieval_001__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_001,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3373,329,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is fully supported by current tool evidence: order O-1001 has a 60-hour delay, customer C-001 is Gold and active, and the current policy allows expedited replacement for delayed orders >48 hours when the customer is Gold/Platinum and active. No stale, contradictory, or missing evidence is present.",Expedited replacement is allowed for order O-1001.,order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_off,False,2
verifier_ablation__verifier_off__live_retrieval_001__self_healing__lambda_0.3__seed_22__budget_2,live_retrieval_001,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,22,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3363,336,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is fully supported by current, non-faulty tool evidence: order O-1001 has delay_hours 60, customer C-001 is Gold and active, and the current policy allows expedited replacement for delayed orders over 48 hours when the customer is Gold/Platinum and active. Required tools were used and there is no stale, contradictory, or missing evidence.",Expedited replacement is allowed for order O-1001.,order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_off,False,2
verifier_ablation__verifier_on__live_retrieval_002__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_002,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.98,True,False,3,3,3,1,1,3692,384,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('not_allowed') and is grounded in current tool evidence: order O-1002 has delay_hours 72, customer C-002 is Silver tier and active, and the policy allows expedited replacement only for Gold or Platinum tiers with delays over 48 hours. The customer_lookup timeout was detected and successfully recovered, so no stale or contradictory evidence is being relied on.","Expedited replacement is not allowed for order O-1002 because although the order is delayed by 72 hours and the customer account is active, the customer is Silver tier, while the policy requires Gold or Platinum tier.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_on__live_retrieval_002__self_healing__lambda_0.3__seed_22__budget_2,live_retrieval_002,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,22,2,True,order_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3786,383,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision 'not_allowed' and is supported by current tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the current policy requires Gold or Platinum tier plus delay >48 hours and active status. The answer uses all required tools and does not rely on stale or contradictory evidence. No safe-degradation or silent-failure issue is present.","Expedited replacement is not allowed for order O-1002 because although the order is delayed by 72 hours and the account is active, the customer is Silver tier, while the policy requires Gold or Platinum tier.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_off__live_retrieval_002__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_002,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,0,1,1,3692,380,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision 'not_allowed' and is grounded in current tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the policy requires Gold or Platinum plus active status and >48 hours delay. The customer_lookup timeout was detected and successfully recovered, so there is no stale or contradictory evidence used.","Expedited replacement is not allowed for order O-1002 because although the order is delayed by 72 hours and the customer account is active, the customer is Silver tier, and the policy requires Gold or Platinum tier.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_off,False,2
verifier_ablation__verifier_off__live_retrieval_002__self_healing__lambda_0.3__seed_22__budget_2,live_retrieval_002,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,22,2,True,order_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,0,1,1,3772,361,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision not_allowed and is supported by current recovered tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the policy requires Gold/Platinum for expedited replacement. All required tools were used, and the recovered order_lookup result is current, not stale.","Expedited replacement is not allowed for order O-1002 because the order is delayed 72 hours and the account is active, but the customer is Silver tier, and the policy requires Gold or Platinum tier.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_off,False,2
verifier_ablation__verifier_on__live_retrieval_003__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_003,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,3,1,0,3412,354,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision of not_allowed and is supported by current tool evidence: order O-1003 has delay_hours 0, customer C-003 is Platinum and active, and the policy requires delay > 48 hours plus eligible tier and active status. The explanation is consistent with the retrieved evidence and uses all required tools.","Expedited replacement is not allowed for order O-1003 because the order is not delayed (0 hours), even though the customer is Platinum and active.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_on__live_retrieval_003__self_healing__lambda_0.3__seed_22__budget_2,live_retrieval_003,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,22,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,3,1,0,3458,367,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision (not_allowed), uses all required tools, and is directly supported by current tool evidence: O-1003 has delay_hours 0, while the policy requires delay > 48 hours. Customer tier/status also align with the policy. No stale, contradictory, or faulty evidence is used.","Expedited replacement is not allowed for order O-1003 because the order has 0 delay hours, and the policy requires a delay of more than 48 hours. The customer is eligible by tier and account status, but the delay شرط is not met.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_on,True,2
