run_id,task_id,category,success_mode,method,model,fault_intensity,seed,recovery_budget,fault_scheduled,fault_target_tool,fault_type,fault_injected,expected_decision,predicted_decision,decision_match,numeric_answer,expected_numeric_answer,numeric_ok,tools_ok,missing_required_tools,extra_tools_used,tool_efficiency,task_success,silent_failure,safe_degradation,detected_failure,recovery_success,llm_judge_outcome,judge_confidence,grounded_in_tool_evidence,uses_stale_or_contradictory_evidence,model_calls,tool_calls,verifier_calls,judge_calls,recovery_steps,input_tokens,output_tokens,estimated_cost_usd,eval_reason,final_answer,tool_path,tools_used
live_retrieval_001__retry_only__lambda_0.3__seed_11__budget_2,live_retrieval_001,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3340,332,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed') and is fully supported by current tool evidence: O-1001 is delayed 60 hours, customer C-001 is Gold and active, and the current policy allows expedited replacement for delayed >48h orders from active Gold/Platinum customers. Required tools were used and no stale, contradictory, or faulty evidence is present.",Expedited replacement is allowed for order O-1001.,order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_001__full_replanning__lambda_0.3__seed_11__budget_2,live_retrieval_001,retrieval_evidence,decision,full_replanning,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3327,311,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is fully supported by current tool evidence: order O-1001 is delayed 60 hours, customer C-001 is Gold and active, and the current policy allows expedited replacement for delayed >48h orders when the customer is Gold/Platinum and active.",Expedited replacement is allowed for order O-1001.,order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_001__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_001,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3373,333,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision 'allowed' and is directly supported by current tool evidence: order O-1001 has delay_hours 60, customer C-001 is Gold and active, and the policy allows expedited replacement for delayed orders over 48 hours for active Gold/Platinum customers. Required tools were used and there is no stale, contradictory, or missing evidence.",Expedited replacement is allowed for order O-1001.,order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_002__retry_only__lambda_0.3__seed_11__budget_2,live_retrieval_002,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,11,2,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,0,1,1,3625,374,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision of not_allowed and is supported by current tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver and active, and the policy requires Gold or Platinum plus active status. The customer_lookup timeout was recovered, so no stale or unrecovered evidence is relied upon.","Expedited replacement is not allowed for order O-1002 because the customer is Silver tier, while the policy requires Gold or Platinum tier, even though the order is delayed by more than 48 hours and the account is active.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_002__full_replanning__lambda_0.3__seed_11__budget_2,live_retrieval_002,retrieval_evidence,decision,full_replanning,gpt-5.4-mini,0.3,11,2,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,0,1,1,3615,370,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision not_allowed and is grounded in current tool evidence from all required tools. order_lookup shows O-1002 is delayed by 72 hours, customer_lookup (recovered from timeout) shows C-002 is Silver and active, and policy_lookup states expedited replacement requires Gold or Platinum plus active status and >48 hours delay. The conclusion is therefore correct and properly supported.","Expedited replacement is not allowed for order O-1002 because the order is delayed by 72 hours and the account is active, but the customer is Silver tier, while the policy requires Gold or Platinum tier.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_002__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_002,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.98,True,False,3,3,0,1,1,3668,357,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is supported by current tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver and active, and the policy requires Gold or Platinum for expedited replacement. The customer_lookup timeout was recovered and the response used the recovered current result, not stale evidence.","Expedited replacement is not allowed for order O-1002 because the order is delayed by 72 hours and the account is active, but the customer is Silver tier, while the policy requires Gold or Platinum tier.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_003__retry_only__lambda_0.3__seed_11__budget_2,live_retrieval_003,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3297,308,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is supported by current tool evidence: order O-1003 has delay_hours 0, while the policy requires delay > 48 hours for expedited replacement. Required tools were used, and the customer lookup is consistent with eligibility but does not override the unmet delay condition.",Expedited replacement is not allowed for order O-1003.,order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_003__full_replanning__lambda_0.3__seed_11__budget_2,live_retrieval_003,retrieval_evidence,decision,full_replanning,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3388,357,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision (not_allowed) and is fully supported by current tool evidence: order O-1003 has delay_hours 0, while the policy requires a delay of more than 48 hours for expedited replacement. The customer tier/status facts are also consistent with the explanation, and all required tools were used.","Expedited replacement is not allowed for order O-1003 because the order is on time with 0 delay hours, and the policy requires a delay of more than 48 hours. The customer is Platinum and active, but the delay condition is not met.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_003__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_003,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3368,339,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('not_allowed') and is supported by current tool evidence: order O-1003 has delay_hours 0, while the policy requires delay > 48 hours for expedited replacement. Customer eligibility evidence is also current and consistent, but not sufficient to override the unmet delay requirement. No stale, contradictory, or missing required tool evidence is present.",Expedited replacement is not allowed for order O-1003.,order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_004__retry_only__lambda_0.3__seed_11__budget_2,live_retrieval_004,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3323,323,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed') and is fully supported by current tool evidence: O-1004 is delayed 52 hours, customer C-004 is Gold and active, and the current policy allows expedited replacement under those conditions. All required tools were used, with no stale, contradictory, or faulty evidence detected.",Expedited replacement is allowed for order O-1004.,order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_004__full_replanning__lambda_0.3__seed_11__budget_2,live_retrieval_004,retrieval_evidence,decision,full_replanning,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3344,355,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision of allowed and is fully supported by current, non-faulty tool evidence. Order O-1004 is delayed 52 hours, customer C-004 is Gold and active, and the policy explicitly allows expedited replacement under those conditions. All required tools were used and there is no stale or contradictory evidence.",Expedited replacement is allowed for order O-1004.,order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_004__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_004,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,False,,,False,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3346,319,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed') and is fully supported by current tool evidence: O-1004 has 52 hours delay, customer C-004 is Gold and active, and the policy allows expedited replacement under those conditions. All required tools were used and no stale, contradictory, or faulty evidence is present.",Expedited replacement is allowed for order O-1004.,order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
live_retrieval_005__retry_only__lambda_0.3__seed_11__budget_2,live_retrieval_005,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,11,2,False,,,False,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.99,True,False,3,3,0,1,0,3405,334,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is fully supported by current tool evidence: O-1005 is delayed 80 hours, customer C-005 is inactive, and the current replacement policy explicitly requires an active account and excludes inactive accounts. All required tools were used and there is no stale, contradictory, or missing evidence.","Expedited replacement is not allowed for order O-1005 because the customer account is inactive, which makes the order ineligible under the current replacement policy.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup
