run_id,task_id,category,success_mode,method,model,fault_intensity,seed,recovery_budget,fault_scheduled,fault_target_tool,fault_type,fault_injected,expected_decision,predicted_decision,decision_match,numeric_answer,expected_numeric_answer,numeric_ok,tools_ok,missing_required_tools,extra_tools_used,tool_efficiency,task_success,silent_failure,safe_degradation,detected_failure,recovery_success,llm_judge_outcome,judge_confidence,grounded_in_tool_evidence,uses_stale_or_contradictory_evidence,model_calls,tool_calls,verifier_calls,judge_calls,recovery_steps,input_tokens,output_tokens,estimated_cost_usd,eval_reason,final_answer,tool_path,tools_used,experiment,variant,tool_output_verifier_enabled,recovery_budget_level
budget_sensitivity__budget_1__live_retrieval_002__retry_only__lambda_0.3__seed_11__budget_1,live_retrieval_002,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,11,1,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3603,363,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision not_allowed and is supported by current tool evidence: order O-1002 has delay_hours 72, customer C-002 is Silver and active, and the current policy requires Gold or Platinum for expedited replacement. The final explanation is consistent and uses the required tools, with no stale or contradictory evidence.","Expedited replacement is not allowed for order O-1002 because the customer is Silver tier, while the policy requires Gold or Platinum tier, even though the order is delayed by more than 48 hours and the account is active.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_1,True,1
budget_sensitivity__budget_1__live_retrieval_002__retry_only__lambda_0.3__seed_22__budget_1,live_retrieval_002,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,22,1,True,order_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3690,376,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('not_allowed') and is supported by current tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the policy allows expedited replacement only for Gold/Platinum tiers with an active account. The required tools were all used, and the recovered order_lookup result is current, not stale or contradictory.","Expedited replacement is not allowed for order O-1002 because the order is delayed by 72 hours and the account is active, but the customer is Silver tier, and the policy requires Gold or Platinum tier.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_1,True,1
budget_sensitivity__budget_2__live_retrieval_002__retry_only__lambda_0.3__seed_11__budget_2,live_retrieval_002,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,11,2,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3581,379,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision (not_allowed) and is grounded in current tool evidence: order_lookup shows O-1002 delayed 72 hours, customer_lookup (recovered after timeout) shows C-002 is Silver and active, and policy_lookup says expedited replacement requires Gold or Platinum plus active account. The answer correctly explains denial based on Silver tier. No stale or contradictory evidence is used, and all required tools were effectively used via recovery.","Expedited replacement is not allowed for order O-1002 because the customer is Silver tier, while the policy requires Gold or Platinum tier for eligibility.",order_lookup|multi_tool_use.parallel,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_2,True,2
budget_sensitivity__budget_2__live_retrieval_002__retry_only__lambda_0.3__seed_22__budget_2,live_retrieval_002,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,22,2,True,order_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3668,351,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is supported by current recovered tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the current policy requires Gold or Platinum for expedited replacement. The answer uses all required tools and does not rely on stale or contradictory evidence.","Expedited replacement is not allowed for order O-1002 because the order is delayed by 72 hours and the account is active, but the customer is Silver tier, while the policy requires Gold or Platinum tier.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_2,True,2
budget_sensitivity__budget_3__live_retrieval_002__retry_only__lambda_0.3__seed_11__budget_3,live_retrieval_002,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,11,3,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3605,372,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision not_allowed and is directly supported by current tool evidence: O-1002 is delayed by 72 hours, C-002 is Silver tier, and the policy requires Gold or Platinum with an active account. The customer_lookup timeout was detected and recovered, and the evidence used is current rather than stale or contradictory.","Expedited replacement is not allowed for order O-1002 because the customer is Silver tier, and the policy requires Gold or Platinum tier for eligibility.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_3,True,3
budget_sensitivity__budget_3__live_retrieval_002__retry_only__lambda_0.3__seed_22__budget_3,live_retrieval_002,retrieval_evidence,decision,retry_only,gpt-5.4-mini,0.3,22,3,True,order_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3694,367,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision of not_allowed and is supported by current recovered tool evidence: O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the replacement policy requires Gold or Platinum. The recovered order_lookup result is current and there is no stale or contradictory evidence used. Required tools were used.","Expedited replacement is not allowed for order O-1002 because the order is delayed by 72 hours and the account is active, but the customer is Silver tier, while the policy requires Gold or Platinum tier.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_3,True,3
budget_sensitivity__budget_1__live_retrieval_002__full_replanning__lambda_0.3__seed_11__budget_1,live_retrieval_002,retrieval_evidence,decision,full_replanning,gpt-5.4-mini,0.3,11,1,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3625,359,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is grounded in the current recovered tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the policy requires Gold or Platinum tier for expedited replacement. The answer uses the recovered current customer_lookup result rather than the injected timeout fault.","Expedited replacement is not allowed for order O-1002 because the order is delayed by 72 hours, but the customer is Silver tier rather than Gold or Platinum, which the policy requires.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_1,True,1
budget_sensitivity__budget_1__live_retrieval_002__full_replanning__lambda_0.3__seed_22__budget_1,live_retrieval_002,retrieval_evidence,decision,full_replanning,gpt-5.4-mini,0.3,22,1,True,order_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3708,381,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('not_allowed') and is grounded in current tool evidence. It uses all required tools: order_lookup (recovered current result shows O-1002 delayed 72 hours), customer_lookup (C-002 is Silver), and policy_lookup (expedited replacement requires delay >48 hours plus Gold/Platinum tier and active account). The conclusion is correctly supported because the customer tier fails the policy requirement. No stale or contradictory evidence is used.","Expedited replacement is not allowed for order O-1002 because the order is delayed by 72 hours and the account is active, but the customer is Silver tier, while the policy requires Gold or Platinum tier.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_1,True,1
budget_sensitivity__budget_2__live_retrieval_002__full_replanning__lambda_0.3__seed_11__budget_2,live_retrieval_002,retrieval_evidence,decision,full_replanning,gpt-5.4-mini,0.3,11,2,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3631,369,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is supported by current tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the current policy requires Gold or Platinum plus an active account. The answer uses the recovered customer_lookup result, not the injected timeout fault, and there is no contradiction with the evidence.","Expedited replacement is not allowed for order O-1002 because the order is delayed by 72 hours, but the customer is Silver tier, and the policy requires Gold or Platinum tier plus an active account.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_2,True,2
budget_sensitivity__budget_2__live_retrieval_002__full_replanning__lambda_0.3__seed_22__budget_2,live_retrieval_002,retrieval_evidence,decision,full_replanning,gpt-5.4-mini,0.3,22,2,True,order_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3728,398,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision 'not_allowed' and is grounded in current recovered tool evidence. It uses all required tools: order_lookup (recovered current result shows O-1002 delay_hours 72), customer_lookup (C-002 is Silver and active), and policy_lookup (replacement requires delayed >48h, Gold/Platinum, and active account). The conclusion is consistent with the policy because the customer is not Gold/Platinum. No stale, contradictory, or malformed evidence is used.","Expedited replacement is not allowed for order O-1002 because the order is delayed by 72 hours, but the customer is Silver tier rather than Gold or Platinum. The account is active, but tier eligibility is not met.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,budget_sensitivity,budget_2,True,2
