run_id,task_id,category,success_mode,method,model,fault_intensity,seed,recovery_budget,fault_scheduled,fault_target_tool,fault_type,fault_injected,expected_decision,predicted_decision,decision_match,numeric_answer,expected_numeric_answer,numeric_ok,tools_ok,missing_required_tools,extra_tools_used,tool_efficiency,task_success,silent_failure,safe_degradation,detected_failure,recovery_success,llm_judge_outcome,judge_confidence,grounded_in_tool_evidence,uses_stale_or_contradictory_evidence,model_calls,tool_calls,verifier_calls,judge_calls,recovery_steps,input_tokens,output_tokens,estimated_cost_usd,eval_reason,final_answer,tool_path,tools_used,experiment,variant,tool_output_verifier_enabled,recovery_budget_level
verifier_ablation__verifier_on__live_retrieval_002__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_002,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.98,True,False,3,3,3,1,1,3692,384,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('not_allowed') and is grounded in current tool evidence: order O-1002 has delay_hours 72, customer C-002 is Silver tier and active, and the policy allows expedited replacement only for Gold or Platinum tiers with delays over 48 hours. The customer_lookup timeout was detected and successfully recovered, so no stale or contradictory evidence is being relied on.","Expedited replacement is not allowed for order O-1002 because although the order is delayed by 72 hours and the customer account is active, the customer is Silver tier, while the policy requires Gold or Platinum tier.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_on__live_retrieval_002__self_healing__lambda_0.3__seed_22__budget_2,live_retrieval_002,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,22,2,True,order_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3786,383,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision 'not_allowed' and is supported by current tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the current policy requires Gold or Platinum tier plus delay >48 hours and active status. The answer uses all required tools and does not rely on stale or contradictory evidence. No safe-degradation or silent-failure issue is present.","Expedited replacement is not allowed for order O-1002 because although the order is delayed by 72 hours and the account is active, the customer is Silver tier, while the policy requires Gold or Platinum tier.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_off__live_retrieval_002__self_healing__lambda_0.3__seed_11__budget_2,live_retrieval_002,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,customer_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,0,1,1,3692,380,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision 'not_allowed' and is grounded in current tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the policy requires Gold or Platinum plus active status and >48 hours delay. The customer_lookup timeout was detected and successfully recovered, so there is no stale or contradictory evidence used.","Expedited replacement is not allowed for order O-1002 because although the order is delayed by 72 hours and the customer account is active, the customer is Silver tier, and the policy requires Gold or Platinum tier.",order_lookup|multi_tool_use.parallel|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_off,False,2
verifier_ablation__verifier_off__live_retrieval_002__self_healing__lambda_0.3__seed_22__budget_2,live_retrieval_002,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,22,2,True,order_lookup,timeout,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,0,1,1,3772,361,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision not_allowed and is supported by current recovered tool evidence: order O-1002 is delayed 72 hours, customer C-002 is Silver tier and active, and the policy requires Gold/Platinum for expedited replacement. All required tools were used, and the recovered order_lookup result is current, not stale.","Expedited replacement is not allowed for order O-1002 because the order is delayed 72 hours and the account is active, but the customer is Silver tier, and the policy requires Gold or Platinum tier.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_off,False,2
verifier_ablation__verifier_on__live_retrieval_005__self_healing__lambda_0.3__seed_22__budget_2,live_retrieval_005,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,22,2,True,policy_lookup,malformed_output,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,3,3,1,1,3709,343,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision not_allowed and is grounded in current tool evidence: order O-1005 is delayed 80 hours, customer C-005 is inactive, and the recovered current policy explicitly says active accounts are required and inactive accounts are not eligible. It uses all required tools, and the policy evidence is recovered from a malformed-output fault, not stale or contradictory.","Expedited replacement is not allowed for order O-1005 because the customer account is inactive, and inactive accounts are not eligible under the current replacement policy.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_off__live_retrieval_005__self_healing__lambda_0.3__seed_22__budget_2,live_retrieval_005,retrieval_evidence,decision,self_healing,gpt-5.4-mini,0.3,22,2,True,policy_lookup,malformed_output,True,not_allowed,not_allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.97,True,False,4,4,0,1,0,4480,356,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision and is grounded in current tool evidence: order O-1005 is delayed 80 hours, customer C-005 is inactive, and the current policy text states expedited replacement requires an active account and excludes inactive accounts. The malformed policy lookup was followed by a valid current policy lookup, so the answer is supported by recovered evidence rather than stale or contradictory data.","Expedited replacement is not allowed for order O-1005 because the customer account is inactive, and inactive accounts are not eligible under the current replacement policy.",order_lookup|customer_lookup|policy_lookup,order_lookup|customer_lookup|policy_lookup|policy_lookup,verifier_ablation,verifier_off,False,2
verifier_ablation__verifier_on__live_workflow_001__self_healing__lambda_0.3__seed_11__budget_2,live_workflow_001,multi_step_api_workflow,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,order_lookup,unavailable_tool,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,4,4,1,1,4072,382,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision 'allowed' and is grounded in current recovered tool evidence from all required tools. The injected order_lookup failure was detected and recovered with current data; inventory shows SKU-A in stock, shipping_estimator says priority_allowed true for standard_zone, and policy_lookup confirms priority shipping is allowed under these conditions. No stale or contradictory evidence is used.",Priority shipping is allowed for order O-2001.,order_lookup|multi_tool_use.parallel|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_on__live_workflow_001__self_healing__lambda_0.3__seed_22__budget_2,live_workflow_001,multi_step_api_workflow,decision,self_healing,gpt-5.4-mini,0.3,22,2,True,shipping_estimator,malformed_output,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,4,4,1,1,3951,415,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed') and is supported by current tool evidence: order_lookup shows SKU-A, standard_zone, priority shipping, quantity 2; inventory_lookup shows SKU-A in stock; shipping_estimator was faulted but successfully recovered with a current recovered_result indicating priority_allowed=true; policy_lookup states priority shipping is allowed when the item is in stock, quantity is available, and destination is not a restricted zone. No stale or contradictory evidence is relied upon.",Priority shipping is allowed for order O-2001.,order_lookup|multi_tool_use.parallel,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,verifier_ablation,verifier_on,True,2
verifier_ablation__verifier_off__live_workflow_001__self_healing__lambda_0.3__seed_11__budget_2,live_workflow_001,multi_step_api_workflow,decision,self_healing,gpt-5.4-mini,0.3,11,2,True,order_lookup,unavailable_tool,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,True,True,correct,0.99,True,False,3,4,0,1,1,4050,395,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed') and is fully grounded in current tool evidence. All required tools were used. order_lookup was faulted but successfully recovered with current data showing SKU-A, standard_zone, priority request, quantity 2. inventory_lookup confirms SKU-A is in stock, shipping_estimator says priority_allowed=true for standard_zone, and policy_lookup states priority shipping is allowed when the item is in stock, quantity is available, and the destination is not restricted.",Priority shipping is allowed for order O-2001.,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,verifier_ablation,verifier_off,False,2
verifier_ablation__verifier_off__live_workflow_001__self_healing__lambda_0.3__seed_22__budget_2,live_workflow_001,multi_step_api_workflow,decision,self_healing,gpt-5.4-mini,0.3,22,2,True,shipping_estimator,malformed_output,True,allowed,allowed,True,,,True,True,,,1.0,True,False,False,False,False,correct,0.98,True,False,3,4,0,1,0,3681,436,0.0,"rule=(mode=decision; decision_match=True; numeric_ok=True; tools_ok=True; missing=[]; extra=[]); judge=correct; The final answer matches the expected decision ('allowed') and is grounded in current tool evidence: order_lookup shows SKU-A, destination standard_zone, priority requested, quantity 2; inventory_lookup shows SKU-A in stock with 25 units; policy_lookup states priority shipping is allowed when the item is in stock, quantity is available, and destination is not restricted. The shipping_estimator output was malformed, and the answer appropriately notes that it was unusable rather than relying on it. No stale or contradictory evidence is used.","Priority shipping is allowed for order O-2001 based on the order details, inventory availability, and shipping policy. The shipping estimator output was malformed, so I relied on the current policy and inventory evidence together with the order data.",order_lookup|multi_tool_use.parallel,order_lookup|inventory_lookup|shipping_estimator|policy_lookup,verifier_ablation,verifier_off,False,2
